City,Website,Status,MML_Slug,Phone,Population,NextElection,Officials
Verona,,"PAGE FOUND, NO WEB LINK",Verona,(662) 566-2211,"2,792",06/2029,Mayor: Bobby Williams | Alderwoman At-Large: Brenda Spurgon | Alderman: Eddie Tucker | Alderwoman: Margaret Baker | Alderwoman: Jessie Gilmore | Alderman: Julian Riley | City Clerk: Pamela Shumpert
Vicksburg,http://www.vicksburg.org,OK,Vicksburg,(601) 636-3411,"21,573",06/2025,Mayor: Willis Thompson | Alderman: Thomas Mayfield | Alderwoman: Vickie Bailey | City Clerk: Deborah Kaiser-Nickson
Walls,,"PAGE FOUND, NO WEB LINK",Walls,(662) 781-1282,"1,351",06/2029,Mayor: Keidron Henderson | Alderwoman: Regina Barnes-Young | Alderman: Calvin Farmer | Alderman: Bruno Lauer | Alderman: Thomas Presley | Alderman: Keith White | City Clerk: Kathy Gordon
Walnut,,"PAGE FOUND, NO WEB LINK",Walnut,(662) 223-4405,701,06/2029,Mayor: Tyler Wilbanks | Alderman: Robbie Harris | Alderman: Joshua James | Alderman: Austin Pulliam | Alderman: Scott Pulliam | Alderwoman: Rachel Wilbanks | City Clerk/Court Clerk: Dana Montgomery
Walnut Grove,http://www.walnutgrove-ms.com/,OK,Walnut-Grove,(601) 253-2321,500,06/2029,Mayor: James  Gomillion | Alderman: Ricky  Chamblee | Alderwoman: Teresa Darby | Alderwoman: Dorothy Darby | Alderwoman: Shantell Edwards | Alderman: Micheal Johnson | City Clerk: Nekki  Stiles
Walthall,,"PAGE FOUND, NO WEB LINK",Walthall,(662) 258-6661,116,06/2029,Mayor: Belinda Stewart | Alderwoman: Krystal Ballard | Alderman: Brian Hubbard | Alderman: Charles Oliver | Alderwoman: Kelly  Powell | Alderman: Jeffrey Tabb | City Clerk: Audrey McNeel
Water Valley,,"PAGE FOUND, NO WEB LINK",Water-Valley,(662) 473-2431,112,06/2029,Mayor: Thomas Reynolds | Alderman: Demetruis Ingram | Alderman: Joe Magnuson | Alderman: Herbert Rogers | Alderman: Grant Thompson | Alderwoman: Nicole Folson | City Clerk/Court Clerk: Vivian Snider
Waveland,http://www.waveland.ms.gov,OK,Waveland,(228) 467-4134,6900,06/2029,Mayor: Jay Trapani | Alderwoman: Rhonda Aime-Gamble | Alderman: Bobby Richardson | Alderman: Shane LaFontaine | Alderman: Jeremy Clark | City Clerk: Lisa Planchard
Waynesboro,,"PAGE FOUND, NO WEB LINK",Waynesboro,(601) 735-4874,"5,000",06/2029,Mayor: Scott Frost | Alderman: Deun Jordan | Alderman: Tim Cochran | Alderman: Jerry  Hutto | Alderwoman: Tammie  Wilson | Alderman: Michael Norsworthy | City Clerk: Carmen Heathcock
Webb,,"PAGE FOUND, NO WEB LINK",Webb,(662) 375-8164,416,06/2029,Mayor: Mary Croft | Alderwoman: Hilary Benson | Alderwoman: Maggie Outlaw | Alderman: Skyler Pickett | Alderwoman: Betty Powell | Alderman: Willie Garner | City Clerk: Quartesha Kindle
Weir,,"PAGE FOUND, NO WEB LINK",Weir,(662) 547-6123,502,06/2029,Mayor: Andy  Bunkelman | Alderman: Stoney Armstrong | Alderman: John  O'Kelly | Alderman: Javette Pratt | Alderman: Loyd Ray | City Clerk/Court Clerk: Cyndy Josey
Wesson,,"PAGE FOUND, NO WEB LINK",Wesson,(601) 643-5221,"1,891",06/2029,Mayor: Alton Shaw | Alderman: Stanley Martin | Alderman: Larry Hall | Alderman: Jarrad Ashley | Alderman: Billy Ellison | Alderman: Michael King | City Clerk: Angela Hester
West,,"PAGE FOUND, NO WEB LINK",West,(662) 967-2308,260,06/2029,Mayor: Sammy Aldridge | Alderwoman: Jean Aldridge | Alderman: William Bowie | Alderman: William Hathcock | Alderwoman: Emma Herron | Alderman At-Large: Ricky Farmer | City Clerk/Court Clerk: Misti Booker
West Point,https://www.wpnet.org/,OK,West-Point,(662) 494-2573,9556,06/2029,Mayor: Roderick Bobo | Selectman: Richard Bryan | Selectman: Terrell Harris | Selectman: William Binder | Selectman: Ken  Poole | Selectman: William McBrayer | City Clerk: Deloris Collins Doss
Wiggins,,"PAGE FOUND, NO WEB LINK",Wiggins,(601) 928-7221,"4,255",06/2029,Mayor: Darrell Berry | Alderwoman: Jeanette Jackson | Alderwoman: Brittany Harris | Alderwoman: Rachel Bonney | Alderman: Damian McKay | Alderman: Jared Harris | City Clerk: Haley   Nelson | City Clerk: Johnette Cook
Winona,http://www.winonams.us,OK,Winona,(662) 283-1232,"4,079",06/2029,Mayor: Jerry Flowers | Alderman: Michael Austin | Alderman: Chris Herring | Alderman: Katrina Bays | Alderman: Charles Harris | Alderwoman: Linda  Purnell | City Clerk: Tracy Holcomb
Winstonville,,"PAGE FOUND, NO WEB LINK",Winstonville,(662) 741-2106,153,06/2025,Mayor: Henry Perkins | Alderwoman: Addie Baines | Alderman: Ponthea Howard | Alderman: Robert Jackson | Alderman: Terry Nolden | Alderman: Reginald Scott | City Clerk: Joyce Scott
Woodland,,"PAGE FOUND, NO WEB LINK",Woodland,(662) 456-6148,189,06/2029,Mayor: Patti Pettit | Alderwoman: Chesteen Russell | Alderwoman: Jessica Nichols | Alderwoman: Shelia Kenfield | City Clerk: Reta Laney
Woodville,,"PAGE FOUND, NO WEB LINK",Woodville,(601) 888-3338,928,06/2029,Mayor: Jessie Stewart | Alderwoman: Frances Bailey | Alderman At-Large: William Carter | Alderwoman: Megan Spillman | Alderman: Louis D'Aquila | City Clerk: Pawlawski  Adams
Yazoo City,,"PAGE FOUND, NO WEB LINK",Yazoo-City,(662) 746-1401,"10,316",02/2026,Mayor: Macklyn Austin | Alderwoman: Zelda  Baker | Alderman: DeYoung  Haymer | Alderwoman: Pattie   Taylor Wright | Alderwoman: Elizabeth Thomas | City Clerk: Kaneilia  Williams
